model,tr_balanced_accuracy_mean,tr_balanced_accuracy_std,val_balanced_accuracy_mean,val_balanced_accuracy_std
GaussianNB,0.9615752195350022,0.00046997877739758063,0.9616211219739134,0.0007049627616555978
KNeighborsClassifier,0.9997075894335401,6.0833916983190516e-05,0.999519476239484,0.00016295361565044555
RandomForestClassifier,0.9999730974119249,2.430896640621501e-05,0.9998514979247017,7.192740008477532e-05
LinearSVC,0.9844399306465912,0.0008695795141178134,0.9844676542449129,0.0017366138625161689
SVC,0.9804172018979603,0.000523654848221479,0.9802741612359023,0.0005800262532488204
LogisticRegression_OvR,0.98166003477047,0.0024642126924982162,0.9818142389286244,0.0022274253665827614
LogisticRegression_softmax,0.9819872009484347,0.0006881196296081246,0.9820781992817279,0.0005328709749664709
RidgeClassifier,0.9770032867994318,0.0005482900981061287,0.9769078200775002,0.0005915746163728022
